"event","day","type"
"Day of the Dead "," November 2","ethnic"
"National Spouses Day "," January 26","family"
"National Siblings Day "," April 10","family"
"Husband Appreciation Day "," April 15","family"
"National Brothers and Sisters Day "," May 2","family"
"Mother’s Day "," May 14","family"
"Brother’s Day "," May 24","family"
"Global Day of Parents "," June 1","family"
"Father’s Day "," June 18","family"
"Gorgeous Grandma Day "," July 23","family"
"National Cousin’s Day "," July 24","family"
"National Aunt and Uncle Day "," July 26","family"
"National Sisters Day "," August 6","family"
"National Son and Daughter Day "," August 11","family"
"National Senior Citizens Day "," August 21","family"
"National Grandparents Day "," September 10","family"
"National Family Day "," September 26","family"
"National Hat Day "," January 15","fashion"
"National Umbrella Day "," February 10","fashion"
"National Dress Day "," March 6","fashion"
"National Sunglasses Day "," June 27","fashion"
"National Lipstick Day "," July 29","fashion"
"National Underwear Day "," August 5","fashion"
"National Spaghetti Day "," January 4","food"
"National Popcorn Day "," January 19","food"
"National Cheese Lover’s Day "," January 20","food"
"National Blonde Brownie Day "," January 22","food"
"National Pie Day "," January 23","food"
"National Peanut Butter Day "," January 24","food"
"National Chocolate Cake Day "," January 27","food"
"National Croissant Day "," January 30","food"
"National Eat Ice Cream for Breakfast Day "," February 4","food"
"National Frozen Yogurt Day "," February 6","food"
"National Pizza Day "," February 9","food"
"National Plum Pudding Day "," February 12","food"
"National Tortellini Day "," February 13","food"
"National Almond Day "," February 16","food"
"National Muffin Day "," February 20","food"
"National Sticky Bun Day "," February 21","food"
"National Chili Day "," February 23","food"
"National Tortilla Chip Day "," February 24","food"
"National Clam Chowder Day "," February 25","food"
"National Pistachio Day "," February 26","food"
"National Chocolate Souffle Day "," February 28","food"
"National Peanut Butter Lover’s Day "," March 1","food"
"National Frozen Food Day "," March 6","food"
"National Pancake Day "," March 7","food"
"National Meatball Day "," March 9","food"
"National Pack Your Lunch Day "," March 10","food"
"National Potato Chip Day "," March 14","food"
"National Artichoke Day "," March 16","food"
"National Corn Dog Day "," March 19","food"
"National Crunchy Taco Day "," March 21","food"
"International Waffle Day "," March 25","food"
"National Spinach Day "," March 26","food"
"National Spanish Paella Day "," March 27","food"
"National Peanut Butter and Jelly Day "," April 2","food"
"National Deep Dish Pizza Day "," April 5","food"
"National Burrito Day "," April 6","food"
"National Empanada Day "," April 8","food"
"National Grilled Cheese Sandwich Day "," April 12","food"
"National Cheeseball Day "," April 17","food"
"National Garlic Day "," April 19","food"
"National Jelly Bean Day "," April 22","food"
"National Pigs in a Blanket Day "," April 24","food"
"National Pretzel Day "," April 26","food"
"National Prime Rib Day "," April 27","food"
